Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
Dr Reddy's Labs,5850.80,17.46,97602.00,0.68,1309.80,36.42,7113.80,12.65,26.86,3.43,334.37,21.64,0.07,35.65,0.71,2024-05-27
Divi's Lab.,4291.00,71.21,113912.62,0.72,538.00,67.60,2303.00,18.04,16.44,8.37,60.27,12.15,0.00,33.38,20.88,2024-05-27
Coal India,496.55,8.18,306010.21,4.93,8640.45,25.78,37410.39,-1.94,65.11,3.69,60.69,53.39,0.08,20.05,0.50,2024-05-27
Cipla,1481.80,28.10,119639.77,0.57,931.87,48.80,6163.24,7.39,23.08,4.46,51.05,16.99,0.02,35.65,1.11,2024-05-27
Britannia Inds.,5197.60,58.62,125193.73,1.37,536.61,-3.76,4069.36,1.15,48.92,31.81,88.84,57.15,0.52,59.09,4.48,2024-05-27
Bharti Airtel,1395.65,69.79,830892.80,0.29,2068.20,29.63,37599.10,4.42,13.13,9.61,13.20,14.93,2.63,49.78,0.57,2024-05-27
B P C L,655.50,5.15,142194.56,3.18,4789.57,-36.39,116554.73,-1.32,32.09,1.91,123.82,41.90,0.72,8.18,0.18,2024-05-27
Bajaj Finserv,1605.25,31.39,256115.84,0.06,4084.93,19.76,32040.84,35.62,11.65,4.28,51.07,15.27,4.79,20.58,1.54,2024-05-27
Bajaj Finance,6931.40,29.70,429051.09,0.53,3824.53,21.11,14926.21,31.35,11.87,5.62,233.46,22.05,3.82,20.58,1.01,2024-05-27
Bajaj Auto,9039.95,32.74,252377.07,0.89,2011.43,17.99,11554.95,29.41,33.47,8.68,276.10,26.43,0.07,121.99,3.08,2024-05-27
Axis Bank,1191.70,13.88,367930.49,0.09,7630.07,53.87,30230.58,22.74,7.53,2.76,85.49,20.33,8.88,12.54,0.35,2024-05-27
Asian Paints,2885.00,50.71,276728.60,1.17,1275.30,0.38,8730.76,-0.64,37.51,14.79,56.92,31.45,0.13,43.45,2.47,2024-05-27
Apollo Hospitals,5948.90,108.51,85536.02,0.25,254.40,59.80,4850.60,13.77,14.50,13.15,54.89,13.71,0.75,41.81,1.62,2024-05-27
Adani Ports,1434.30,36.86,309828.69,0.40,2014.77,2.53,6896.50,18.97,12.92,5.89,37.55,17.09,0.93,36.40,2.34,2024-05-27
Adani Enterp.,3321.00,102.20,378594.39,0.04,352.25,-41.62,29180.02,0.82,10.17,9.63,28.43,10.27,1.67,35.88,2.31,2024-05-27
TCS,3883.00,30.00,1404903.36,1.43,12502.00,9.15,61237.00,3.51,64.28,15.57,126.88,51.51,0.09,29.93,3.65,2024-05-27
