Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
LTIMindtree,4658.00,30.09,137952.87,1.28,1100.70,-1.24,8892.90,2.32,32.11,6.91,154.72,25.03,0.10,30.22,1.21,2024-05-09
Kotak Mah. Bank,1643.10,17.89,326635.31,0.09,5337.20,16.88,15156.18,26.50,8.75,2.90,91.62,16.29,3.75,11.59,0.88,2024-05-09
JSW Steel,834.55,18.85,204085.32,0.39,2450.00,409.49,41940.00,7.17,8.33,2.83,45.99,5.64,1.11,18.14,-1.86,2024-05-09
Infosys,1439.55,23.05,597538.07,2.63,7975.00,30.04,37923.00,1.29,39.99,6.74,63.20,31.83,0.09,30.22,2.05,2024-05-09
IndusInd Bank,1401.45,12.18,109082.95,0.96,2346.84,15.01,12198.53,21.73,8.42,2.09,114.99,16.39,7.06,11.59,0.55,2024-05-09
ITC,425.10,25.94,530725.55,2.93,5406.52,6.65,18019.37,1.78,39.01,7.61,16.47,29.09,0.00,23.96,2.22,2024-05-09
ICICI Bank,1115.70,17.80,783922.68,0.71,12200.05,18.46,42606.72,23.72,8.37,3.62,63.02,20.63,6.53,11.59,0.30,2024-05-09
Hind. Unilever,2325.65,53.17,546432.63,1.79,2561.00,-1.59,15210.00,-0.03,27.24,10.76,43.74,20.24,0.03,59.42,5.02,2024-05-09
Hindalco Inds.,619.40,14.80,139192.54,0.47,2331.00,71.15,52808.00,-0.65,11.34,1.43,41.79,11.67,0.59,23.41,0.93,2024-05-09
Hero Motocorp,4764.90,24.63,95265.06,2.06,943.46,16.13,9616.68,14.02,29.77,5.36,187.31,22.47,0.03,56.25,8.58,2024-05-09
HDFC Life Insur.,539.55,73.81,116054.11,0.36,411.64,13.72,28041.28,34.44,6.61,7.85,7.32,11.38,0.06,41.87,12.47,2024-05-09
HDFC Bank,1447.50,17.23,1099652.89,1.32,18012.87,39.92,79433.61,67.06,9.50,2.83,84.33,22.13,7.39,11.59,0.73,2024-05-09
HCL Technologies,1320.05,22.82,358217.37,3.89,3995.00,0.13,28499.00,7.11,29.84,5.27,57.86,23.49,0.08,30.22,2.41,2024-05-09
Grasim Inds,2353.70,28.09,157424.95,0.42,2603.43,-39.80,31965.48,11.62,9.97,1.90,82.64,8.85,1.47,28.28,1.46,2024-05-09
Eicher Motors,4568.05,32.67,125075.90,0.81,995.97,34.44,4178.84,12.30,27.35,7.88,140.20,21.12,0.03,56.25,3.96,2024-05-09
Dr Reddy's Labs,5877.35,17.52,98044.95,0.66,1309.80,36.42,7113.80,12.65,26.86,3.42,334.37,21.64,0.07,35.62,0.71,2024-05-09
Divi's Lab.,3789.95,72.68,100611.30,0.77,358.00,16.99,1855.00,8.61,19.36,7.94,52.10,14.89,0.00,33.38,4.64,2024-05-09
Coal India,443.50,7.36,273317.05,5.46,8640.45,25.78,37410.39,-1.94,65.11,3.41,60.69,53.39,0.08,16.62,0.45,2024-05-09
Cipla,1358.80,27.80,109708.82,0.61,1068.41,49.26,6603.81,13.66,18.02,4.37,45.93,12.84,0.04,35.62,1.73,2024-05-09
Britannia Inds.,5070.10,57.20,122122.69,1.38,536.61,-3.76,4069.36,1.15,48.92,30.95,88.84,57.15,0.52,58.95,4.37,2024-05-09
Bharti Airtel,1275.45,66.61,758740.35,0.31,2876.40,34.27,37899.50,5.85,12.30,9.26,15.01,12.05,2.81,45.73,1.40,2024-05-09
B P C L,592.15,4.24,128452.29,3.55,3181.42,76.61,115499.14,-3.08,6.86,1.85,133.41,6.34,0.79,8.16,-0.24,2024-05-09
Bajaj Finserv,1564.60,30.65,249630.18,0.06,4084.93,19.76,32040.84,35.62,11.65,4.13,51.07,15.27,4.79,20.55,1.50,2024-05-09
Bajaj Finance,6605.15,28.26,408856.38,0.53,3824.53,21.11,14926.21,31.35,11.87,5.32,233.46,22.05,3.82,20.55,0.96,2024-05-09
Bajaj Auto,8846.85,32.09,246986.13,0.90,2011.43,17.99,11554.95,29.41,33.47,8.59,276.10,26.43,0.07,150.14,3.02,2024-05-09
Axis Bank,1115.65,13.03,344450.43,0.09,7630.07,53.87,30230.58,22.74,7.53,2.64,85.49,20.33,8.88,11.59,0.33,2024-05-09
Asian Paints,2710.10,47.60,259865.37,0.95,1275.30,0.38,8730.76,-0.64,37.51,13.87,56.92,31.45,0.13,45.99,2.32,2024-05-09
Apollo Hospitals,5806.40,105.95,83487.18,0.26,254.40,59.80,4850.60,13.77,14.50,12.83,54.89,13.71,0.75,40.01,1.58,2024-05-09
Adani Ports,1244.55,32.04,268840.09,0.47,2014.77,2.53,6896.50,18.97,12.92,5.03,37.55,17.09,0.93,32.83,2.03,2024-05-09
Adani Enterp.,2766.65,85.10,315398.42,0.05,352.25,-41.62,29180.02,0.82,10.17,8.13,28.43,10.27,1.67,36.62,1.92,2024-05-09
TCS,3960.20,30.79,1432834.98,1.39,12502.00,9.15,61237.00,3.51,64.28,15.80,126.88,51.51,0.09,30.22,3.75,2024-05-09
Sun Pharma.Inds.,1506.55,38.64,361471.84,0.77,2560.54,19.23,12380.70,10.14,16.44,5.96,37.12,16.55,0.03,34.60,1.47,2024-05-10
O N G C,270.25,7.44,339982.08,4.13,10748.46,-9.91,165569.06,-2.15,13.92,1.09,33.34,14.13,0.46,15.73,0.64,2024-05-10
Wipro,451.85,21.35,236190.56,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.16,21.14,14.51,0.22,30.04,5.12,2024-05-10
UltraTech Cem.,9491.70,38.78,274022.83,0.40,2258.58,38.68,20418.94,9.41,15.26,4.56,242.65,12.32,0.19,29.05,1.61,2024-05-10
Titan Company,3289.85,83.56,292068.35,0.31,771.00,5.62,12494.00,20.60,22.70,31.10,39.38,32.91,1.65,24.01,4.13,2024-05-10
Tech Mahindra,1264.40,52.40,123506.76,2.52,664.20,-40.86,12871.30,-6.17,11.89,4.69,24.14,8.64,0.10,30.04,-4.67,2024-05-10
Tata Steel,162.25,104.69,202545.26,2.21,522.14,139.90,55311.88,-3.10,12.63,2.24,-2.74,7.28,1.01,17.63,39.06,2024-05-10
Tata Motors,1046.65,19.06,383656.99,0.19,7145.43,139.98,110577.14,24.96,5.95,6.43,58.40,5.62,2.38,30.89,-0.95,2024-05-10
Tata Consumer,1090.95,75.64,103949.57,0.78,212.26,24.51,3926.94,8.52,10.86,6.51,12.07,8.50,0.22,32.15,2.75,2024-05-10
St Bk of India,817.35,10.16,729453.25,1.38,22202.73,18.18,117469.38,19.77,6.68,2.05,75.17,20.12,13.90,9.88,0.10,2024-05-10
Shriram Finance,2344.35,11.99,88098.96,1.45,2021.28,56.30,9904.30,24.33,11.23,1.82,196.02,15.93,3.99,20.14,0.51,2024-05-10
SBI Life Insuran,1431.95,75.70,143404.87,0.19,810.80,4.37,36255.19,70.25,14.88,9.59,18.91,13.56,0.00,40.47,8.76,2024-05-10
Reliance Industr,2814.85,27.33,1904440.16,0.32,21243.00,-1.34,236533.00,11.13,10.02,2.43,102.90,9.23,0.44,7.87,2.29,2024-05-10
Power Grid Corpn,303.75,18.00,282505.88,3.69,4028.25,10.50,11549.79,2.56,13.09,3.19,16.91,19.56,1.38,28.04,0.70,2024-05-10
Nestle India,2524.55,76.33,243406.34,0.66,934.17,25.79,5267.59,9.05,152.52,72.88,33.15,122.11,0.10,57.16,5.73,2024-05-10
NTPC,355.50,17.66,344716.52,2.06,5208.87,7.93,42820.38,-3.99,9.83,2.26,20.11,12.02,1.45,28.04,1.90,2024-05-10
Maruti Suzuki,12675.50,29.57,398520.94,0.71,3952.30,47.05,38471.20,19.43,23.68,4.64,429.01,18.30,0.00,65.32,1.67,2024-05-10
M & M,2193.05,24.51,272712.00,0.72,2977.04,14.07,35299.39,15.28,12.69,4.49,89.67,18.11,1.65,65.32,2.46,2024-05-10
Larsen & Toubro,3271.45,34.63,449716.00,0.85,5013.17,8.72,67078.68,14.99,13.40,5.18,95.00,14.80,1.35,39.60,4.16,2024-05-10
LTIMindtree,4600.00,29.74,136235.21,1.31,1100.70,-1.24,8892.90,2.32,32.11,6.86,154.72,25.03,0.10,30.04,1.20,2024-05-10
Kotak Mah. Bank,1627.95,17.76,323623.59,0.09,5337.20,16.88,15156.18,26.50,8.75,2.95,91.62,16.29,3.75,11.33,0.87,2024-05-10
JSW Steel,853.60,19.25,208743.94,0.41,2450.00,409.49,41940.00,7.17,8.33,2.82,45.99,5.64,1.11,17.63,-1.90,2024-05-10
Infosys,1424.90,22.74,591457.05,2.69,7975.00,30.04,37923.00,1.29,39.99,6.70,63.20,31.83,0.09,30.04,2.02,2024-05-10
IndusInd Bank,1410.15,12.28,109760.11,1.00,2346.84,15.01,12198.53,21.73,8.42,2.04,114.99,16.39,7.06,11.33,0.56,2024-05-10
ITC,433.35,26.46,541025.42,3.01,5406.52,6.65,18019.37,1.78,39.01,7.88,16.47,29.09,0.00,23.96,2.26,2024-05-10
ICICI Bank,1117.05,17.74,784871.18,0.71,12200.05,18.46,42606.72,23.72,8.37,3.60,63.02,20.63,6.53,11.33,0.30,2024-05-10
Hind. Unilever,2362.55,54.07,555102.71,1.79,2561.00,-1.59,15210.00,-0.03,27.24,10.90,43.74,20.24,0.03,58.56,5.10,2024-05-10
Hindalco Inds.,625.60,14.96,140585.83,0.48,2331.00,71.15,52808.00,-0.65,11.34,1.40,41.79,11.67,0.59,23.26,0.94,2024-05-10
Hero Motocorp,4877.40,25.19,97514.39,2.01,943.46,16.13,9616.68,14.02,29.77,5.51,187.31,22.47,0.03,58.14,8.78,2024-05-10
HDFC Life Insur.,549.25,74.98,118140.59,0.37,411.64,13.72,28041.28,34.44,6.61,7.92,7.32,11.38,0.06,40.47,12.67,2024-05-10
HDFC Bank,1437.90,17.06,1092359.72,1.36,18012.87,39.92,79433.61,67.06,9.50,2.78,84.33,22.13,7.39,11.33,0.73,2024-05-10
HCL Technologies,1316.20,22.68,357172.59,3.97,3995.00,0.13,28499.00,7.11,29.84,5.20,57.86,23.49,0.08,30.04,2.40,2024-05-10
Grasim Inds,2377.15,28.21,158943.62,0.42,2603.43,-39.80,31965.48,11.62,9.97,1.91,82.64,8.85,1.47,27.98,1.46,2024-05-10
Eicher Motors,4657.85,33.21,127534.55,0.81,995.97,34.44,4178.84,12.30,27.35,8.01,140.20,21.12,0.03,58.14,4.03,2024-05-10
Dr Reddy's Labs,5921.00,17.72,98773.07,0.68,1309.80,36.42,7113.80,12.65,26.86,3.53,334.37,21.64,0.07,34.60,0.72,2024-05-10
Divi's Lab.,3793.50,72.87,100705.52,0.79,358.00,16.99,1855.00,8.61,19.36,7.95,52.10,14.89,0.00,32.14,4.65,2024-05-10
Coal India,449.40,7.49,276953.03,5.32,8640.45,25.78,37410.39,-1.94,65.11,3.35,60.69,53.39,0.08,16.97,0.46,2024-05-10
Cipla,1339.55,27.41,108154.59,0.65,1068.41,49.26,6603.81,13.66,18.02,4.37,45.93,12.84,0.04,34.60,1.70,2024-05-10
Britannia Inds.,5066.80,57.15,122043.21,1.44,536.61,-3.76,4069.36,1.15,48.92,30.92,88.84,57.15,0.52,57.16,4.37,2024-05-10
Bharti Airtel,1301.15,67.83,773623.99,0.31,2876.40,34.27,37899.50,5.85,12.30,9.44,15.01,12.05,2.81,44.48,1.43,2024-05-10
B P C L,618.00,4.91,134059.80,3.38,4789.57,-36.39,116554.73,-1.32,32.09,1.74,123.82,41.90,0.72,7.87,0.17,2024-05-10
Bajaj Finserv,1572.70,30.79,250922.52,0.06,4084.93,19.76,32040.84,35.62,11.65,4.19,51.07,15.27,4.79,20.14,1.51,2024-05-10
Bajaj Finance,6684.15,28.56,413746.37,0.55,3824.53,21.11,14926.21,31.35,11.87,5.35,233.46,22.05,3.82,20.14,0.97,2024-05-10
Bajaj Auto,8981.80,32.36,250753.62,0.89,2011.43,17.99,11554.95,29.41,33.47,8.73,276.10,26.43,0.07,146.60,3.04,2024-05-10
Axis Bank,1120.10,13.08,345824.32,0.09,7630.07,53.87,30230.58,22.74,7.53,2.70,85.49,20.33,8.88,11.33,0.33,2024-05-10
