Name,Date,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG
Grasim Inds,"13/05/2024, ""to"", 14/05/2024",-13.150000000000091,-0.16000000000000014,-888.1399999999849,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.09999999999999787,-0.010000000000000009
HCL Technologies,"13/05/2024, ""to"", 14/05/2024",7.0499999999999545,0.129999999999999,2022.179999999993,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.03000000000000025,0.0,0.0,0.0,-0.0400000000000027,0.010000000000000231
HDFC Bank,"13/05/2024, ""to"", 14/05/2024",6.5499999999999545,0.06999999999999673,4325.710000000196,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.27999999999999936,0.0
HDFC Life Insur.,"13/05/2024, ""to"", 14/05/2024",-0.75,-0.0799999999999983,-39.94000000000233,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999915,0.0,0.0,0.0,0.17999999999999972,-0.009999999999999787
Hero Motocorp,"13/05/2024, ""to"", 14/05/2024",156.89999999999964,0.7900000000000027,3084.4199999999983,-0.06999999999999984,0.0,0.0,0.0,0.0,0.0,0.1800000000000006,0.0,0.0,0.0,0.14000000000000057,0.2699999999999996
Hind. Unilever,"13/05/2024, ""to"", 14/05/2024",-6.650000000000091,-0.269999999999996,-2762.9199999999255,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.02999999999999936,0.0,0.0,0.0,1.009999999999998,-0.03000000000000025
Hindalco Inds.,"13/05/2024, ""to"", 14/05/2024",12.399999999999977,0.3000000000000007,2820.8399999999965,-0.009999999999999953,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,1.3200000000000003,0.020000000000000018
ICICI Bank,"13/05/2024, ""to"", 14/05/2024",-7.0499999999999545,-0.10000000000000142,-4887.609999999986,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.27999999999999936,0.0
ITC,"13/05/2024, ""to"", 14/05/2024",-2.150000000000034,-0.14000000000000057,-2870.9000000000233,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,-0.3000000000000007,-0.009999999999999787
IndusInd Bank,"13/05/2024, ""to"", 14/05/2024",17.600000000000136,0.14999999999999858,1358.7899999999936,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.27999999999999936,0.010000000000000009
Infosys,"13/05/2024, ""to"", 14/05/2024",1.3999999999998636,0.030000000000001137,767.8800000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0400000000000027,0.0
JSW Steel,"13/05/2024, ""to"", 14/05/2024",20.0,0.46999999999999886,5065.389999999985,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,0.0,0.0,-0.259999999999998,-0.050000000000000044
Kotak Mah. Bank,"13/05/2024, ""to"", 14/05/2024",5.399999999999864,0.0799999999999983,1593.7000000000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999936,0.0
LTIMindtree,"13/05/2024, ""to"", 14/05/2024",34.600000000000364,0.240000000000002,1045.3899999999849,0.0,0.0,0.0,0.0,0.0,0.0,0.1299999999999999,0.0,0.0,0.0,-0.0400000000000027,0.010000000000000009
Larsen & Toubro,"13/05/2024, ""to"", 14/05/2024",84.95000000000027,0.8800000000000026,11501.849999999977,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.13999999999999968,0.0,0.0,0.0,-0.8200000000000003,0.11000000000000032
M & M,"13/05/2024, ""to"", 14/05/2024",82.30000000000018,0.870000000000001,9674.679999999993,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.16999999999999993,0.0,0.0,0.0,-2.3999999999999986,0.08999999999999986
Maruti Suzuki,"13/05/2024, ""to"", 14/05/2024",131.14999999999964,0.3200000000000003,4299.479999999981,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,-2.3999999999999986,0.020000000000000018
NTPC,"13/05/2024, ""to"", 14/05/2024",5.100000000000023,0.259999999999998,5136.609999999986,-0.029999999999999805,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,2.34,0.030000000000000027
Nestle India,"13/05/2024, ""to"", 14/05/2024",-27.0,-0.8100000000000023,-2584.3099999999977,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.7900000000000063,0.0,0.0,0.0,0.7199999999999989,-0.05999999999999961
O N G C,"13/05/2024, ""to"", 14/05/2024",6.199999999999989,0.16999999999999993,7739.849999999977,-0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,-0.2700000000000031,0.010000000000000009
Power Grid Corpn,"13/05/2024, ""to"", 14/05/2024",2.9499999999999886,0.17999999999999972,2978.3399999999674,-0.029999999999999805,0.0,0.0,0.0,0.0,0.0,0.03000000000000025,0.0,0.0,0.0,2.34,0.010000000000000009
Reliance Industr,"13/05/2024, ""to"", 14/05/2024",34.40000000000009,0.33999999999999986,23544.719999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999805,0.0,0.0,0.0,-0.13999999999999968,0.029999999999999805
SBI Life Insuran,"13/05/2024, ""to"", 14/05/2024",8.450000000000045,0.4900000000000091,866.1299999999756,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,0.17999999999999972,0.05999999999999872
Shriram Finance,"13/05/2024, ""to"", 14/05/2024",22.09999999999991,0.120000000000001,916.4900000000052,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,-0.05000000000000071,0.010000000000000009
St Bk of India,"13/05/2024, ""to"", 14/05/2024",9.350000000000023,0.11999999999999922,9181.420000000042,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,-0.15999999999999837,0.0
Sun Pharma.Inds.,"13/05/2024, ""to"", 14/05/2024",15.25,0.35999999999999943,3391.4799999999814,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0600000000000005,0.0,0.0,0.0,0.21000000000000085,0.010000000000000009
TCS,"13/05/2024, ""to"", 14/05/2024",-45.850000000000364,-0.33000000000000185,-15516.299999999814,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,-0.17999999999999972,0.0,0.0,0.0,-0.0400000000000027,-0.040000000000000036
Tata Consumer,"13/05/2024, ""to"", 14/05/2024",-9.650000000000091,-0.6599999999999966,-920.1699999999983,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.05999999999999961,0.0,0.0,0.0,-2.700000000000003,-0.029999999999999805
Tata Motors,"13/05/2024, ""to"", 14/05/2024",4.9500000000000455,0.0600000000000005,1841.5400000000373,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,-0.9899999999999984,0.0
Tata Steel,"13/05/2024, ""to"", 14/05/2024",1.0999999999999943,0.769999999999996,1499.1700000000128,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.010000000000000231,0.0,0.0,0.0,-0.259999999999998,0.28999999999999915
Tech Mahindra,"13/05/2024, ""to"", 14/05/2024",13.400000000000091,0.5800000000000054,1378.0899999999965,-0.03000000000000025,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,-0.0400000000000027,-0.05999999999999961
Titan Company,"13/05/2024, ""to"", 14/05/2024",35.44999999999982,0.9299999999999926,3207.5599999999977,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.33999999999999986,0.0,0.0,0.0,0.8200000000000003,0.04999999999999982
UltraTech Cem.,"13/05/2024, ""to"", 14/05/2024",117.5,0.4799999999999969,3409.1600000000326,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,-0.08999999999999986,0.019999999999999796
Wipro,"13/05/2024, ""to"", 14/05/2024",4.400000000000034,0.19000000000000128,2158.320000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.03000000000000025,0.0,0.0,0.0,-0.0400000000000027,0.04999999999999982
Adani Enterp.,"22/05/2024, ""to"", 27/05/2024",272.4500000000003,8.420000000000002,31225.380000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000014,0.0,0.0,0.0,-0.6799999999999997,0.18999999999999995
Adani Ports,"22/05/2024, ""to"", 27/05/2024",58.25,1.3999999999999986,12650.729999999981,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.14999999999999947,0.0,0.0,0.0,2.6599999999999966,0.08999999999999986
Apollo Hospitals,"22/05/2024, ""to"", 27/05/2024",30.0,0.5499999999999972,406.4699999999866,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,-0.0899999999999963,0.0
Asian Paints,"22/05/2024, ""to"", 27/05/2024",56.19999999999982,1.0499999999999972,5347.340000000026,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.3199999999999985,0.0,0.0,0.0,-0.6900000000000048,0.04999999999999982
Axis Bank,"22/05/2024, ""to"", 27/05/2024",29.15000000000009,0.2699999999999996,8457.570000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,0.6400000000000006,0.009999999999999953
B P C L,"22/05/2024, ""to"", 27/05/2024",2.650000000000091,-0.04999999999999982,574.7999999999884,0.010000000000000231,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.009999999999999787,-0.010000000000000009
Bajaj Auto,"22/05/2024, ""to"", 27/05/2024",152.5500000000011,0.5700000000000003,4280.239999999991,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.13000000000000078,0.0,0.0,0.0,-3.710000000000008,0.04999999999999982
Bajaj Finance,"22/05/2024, ""to"", 27/05/2024",71.64999999999964,0.25,4228.479999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,-0.9399999999999977,0.010000000000000009
Bajaj Finserv,"22/05/2024, ""to"", 27/05/2024",25.5,0.48999999999999844,4027.9799999999814,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000028,0.0,0.0,0.0,-0.9399999999999977,0.020000000000000018
Bharti Airtel,"22/05/2024, ""to"", 27/05/2024",35.200000000000045,1.8100000000000023,20965.880000000005,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.3100000000000005,0.0,0.0,0.0,1.2199999999999989,0.010000000000000009
Britannia Inds.,"22/05/2024, ""to"", 27/05/2024",95.59999999999945,1.1499999999999986,2371.550000000003,-0.04999999999999982,0.0,0.0,0.0,0.0,0.0,0.5700000000000038,0.0,0.0,0.0,2.1199999999999974,0.08999999999999986
Cipla,"22/05/2024, ""to"", 27/05/2024",46.30000000000018,0.8800000000000026,3799.0999999999913,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,-1.5200000000000031,0.030000000000000027
Coal India,"22/05/2024, ""to"", 27/05/2024",7.150000000000034,0.20999999999999908,4467.460000000021,-0.07000000000000028,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.0,0.0,1.1899999999999977,0.010000000000000009
Divi's Lab.,"22/05/2024, ""to"", 27/05/2024",88.0,1.6600000000000108,2272.8899999999994,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.0,0.0,0.0,-1.9799999999999969,0.11000000000000032
Dr Reddy's Labs,"22/05/2024, ""to"", 27/05/2024",111.64999999999964,0.40000000000000213,1864.179999999993,-0.009999999999999898,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,-1.5200000000000031,0.010000000000000009
Eicher Motors,"22/05/2024, ""to"", 27/05/2024",186.65000000000055,1.240000000000002,5093.600000000006,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1900000000000004,0.0,0.0,0.0,-0.44000000000000483,0.10000000000000009
